,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week),Creator Gender_Female,Creator Gender_Male,Creator Gender_Org,Language of the Video_Arabic,Language of the Video_English,Language of the Video_English + Hindi,Language of the Video_Hindi,Language of the Video_Hindi/English,Language of the Video_Italian,Language of the Video_Japenese,Language of the Video_Kannada,Language of the Video_Konkani,Language of the Video_Malayalam,Language of the Video_Mongalian,Language of the Video_Nawayathi,Language of the Video_Punjabi,Language of the Video_Russian,Language of the Video_Sanskrit,Language of the Video_Tamil,Language of the Video_Telugu,Language of the Video_Urdu,Language of the Video_Urdu + Arabic,Video Description_No,Video Description_Yes,Video Quality_High,Video Quality_Low,Video Quality_Medium,Duration_long,Duration_medium,Duration_short,Premiered or Not_No,Premiered or Not_Yes,Popularity
63,0.0014645021290729,0.0013384635130497,0.0018775510204081,0.0,0.0001047621541956,0.002932551319648,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
64,0.0018478573487128,0.0003278364075476,9.79591836734694e-05,0.0,0.0015380989002354,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
65,0.0002361271560561,0.0001088461108463,0.0113469387755102,0.0357142857142857,0.0005619060997764,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Not Popular
66,0.1686106544323792,0.0062626040581342,0.0022653061224489,0.0,0.0004666677777804,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,Popular
67,0.0052751185430997,0.0090782802162915,5.102040816326531e-05,0.0357142857142857,0.00500477382089,0.0205278592375366,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
68,0.0003308191718474,0.000444140777107,0.0020612244897959,0.1071428571428571,0.0001119050283453,0.002932551319648,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
69,0.0284402587384298,0.0153922753309005,0.0070408163265306,0.0,0.0011571456122514,0.002932551319648,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
70,0.0025195481181672,0.0023803624281169,0.0156530612244897,0.0,0.0053309650737263,0.0058651026392961,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
71,0.1929881145530665,0.040198997409982,0.0265306122448979,0.0,0.0003738104138343,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Popular
72,0.0110090641360032,0.0037609953371142,0.0244897959183673,0.1071428571428571,6.19049092974031e-05,0.0410557184750733,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,Popular
73,0.0039645024075789,0.0045044755189703,0.0002653061224489,0.1071428571428571,0.0128024114343129,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
74,0.0003173853564583,0.0001135311425888,7.142857142857143e-05,0.0,0.0002023814342415,0.002932551319648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,Popular
75,0.0108780025224511,0.0112010881440252,0.000138775510204,0.0,0.0076285895918799,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,Popular
76,0.0224769553218102,0.0438181092019716,0.0005714285714285,0.0,0.0126619349093688,0.0381231671554252,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
77,0.0115660759935995,0.0047515243621765,0.0007959183673469,0.0,0.0178238519615522,0.1964809384164222,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
78,0.5242463428059491,0.0861974604952395,0.0346938775510204,0.1071428571428571,0.0004261914909321,0.0058651026392961,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
79,0.0141545428612531,0.0099098921962822,0.0002244897959183,0.1071428571428571,0.0020381000907145,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,Popular
80,0.3178243014614229,0.027909281090574,0.0002244897959183,0.0,0.0014071462074909,0.0058651026392961,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
81,0.0008354063840229,0.0013940653968467,0.0021428571428571,0.0,0.0330929359355617,0.0410557184750733,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,Popular
82,0.0077652892005892,0.0016165327405936,0.0008571428571428,0.0,0.000785716156467,0.0205278592375366,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
83,0.0026178443283312,0.0044502194675537,0.0003265306122448,0.0,0.002121433622461,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
84,0.0432502210698149,0.0477702370491948,0.0673469387755102,0.0,0.001261907766447,0.002932551319648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,Popular
85,1.6992138197027192e-05,8.728442633380866e-07,2.2448979591836737e-05,0.0357142857142857,7.142874149700357e-06,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,Popular
86,0.1916774984175457,0.0136032135478261,0.0346938775510204,0.0,0.0007261922052195,0.0351906158357771,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,Popular
87,0.0014939909921221,0.0004110320423028,0.0003469387755102,0.0,0.0002261910147405,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,Popular
