,Video Views,Creator Gender,Language of the Video,Video Description,Video Quality,Duration,Premiered or Not,Total Channel Subcribers,Total Chanel Views,No of Likes,Hashtags,No of Videos the Channel,Community Engagement (Posts per week)
62,5052,Male,English,Yes,Medium,medium,No,0.0005077523501427913,0.0001714539563723165,4.183673469387755e-06,0.0,0.0006047633446746302,0.0
63,3014644,Male,English,Yes,Medium,short,No,0.0014645021290729764,0.0013384635130497037,0.0018775510204081633,0.0,0.00010476215419560524,0.002932551319648094
64,149444,Male,English,Yes,Medium,medium,No,0.0018478573487128109,0.00032783640754769445,9.79591836734694e-05,0.0,0.0015380989002354768,0.0
65,9954,Male,Kannada,Yes,Medium,medium,No,0.0002361271560561052,0.00010884611084639284,0.011346938775510204,0.03571428571428571,0.000561906099776428,0.0
66,5346171,Male,English,Yes,High,long,No,0.16861065443237927,0.0062626040581342515,0.0022653061224489797,0.0,0.00046666777778042333,0.0
67,130960,Male,English,Yes,Medium,long,No,0.005275118543099706,0.009078280216291533,5.102040816326531e-05,0.03571428571428571,0.00500477382089005,0.020527859237536656
68,10370723,Org,English,Yes,Medium,short,No,0.0003308191718474831,0.00044414077710708445,0.0020612244897959186,0.10714285714285714,0.0001119050283453056,0.002932551319648094
69,7912055,Male,Hindi,Yes,Medium,long,No,0.028440258738429872,0.015392275330900587,0.0070408163265306125,0.0,0.0011571456122514577,0.002932551319648094
70,56550661,Org,English,Yes,Medium,short,No,0.002519548118167221,0.0023803624281169603,0.015653061224489798,0.0,0.005330965073726366,0.005865102639296188
71,141644942,Female,English,Yes,Medium,short,Yes,0.1929881145530665,0.04019899740998207,0.02653061224489796,0.0,0.0003738104138343187,0.0
72,28494371,Male,Hindi,No,High,medium,No,0.011009064136003213,0.003760995337114243,0.02448979591836735,0.10714285714285714,6.19049092974031e-05,0.04105571847507331
73,536737,Org,English,Yes,Medium,medium,No,0.003964502407578905,0.004504475518970301,0.0002653061224489796,0.10714285714285714,0.01280241143431294,0.0
74,71798,Male,Telugu,Yes,Medium,long,No,0.0003173853564583949,0.00011353114258883278,7.142857142857143e-05,0.0,0.0002023814342415101,0.002932551319648094
75,259396,Male,English,Yes,High,medium,No,0.010878002522451134,0.011201088144025238,0.00013877551020408165,0.0,0.007628589591879981,0.0
76,3527393,Org,English,Yes,Medium,medium,No,0.022476955321810228,0.04381810920197169,0.0005714285714285715,0.0,0.012661934909368833,0.03812316715542522
